"Geneid"	"Phase1.IR1.1009.POOL.0003202425.5104.SL.0095"	"Phase1.IR1.1009.POOL.0003202427.5104.SL.0287"	".Phase1.IR1.1009.POOL.0003202429.5104.SL.0479"
"ENSG00000143549.15"	15893	9503	13663
"ENSG00000264384.1"	209	82	128
"ENSG00000215938.1"	0	2	0
"ENSG00000163263.6"	18	17	20
"ENSG00000143612.14"	2490	1068	1437
"ENSG00000143569.14"	3357	1221	1841
"ENSG00000252817.1"	33	39	42
"ENSG00000201129.1"	2	1	4
"ENSG00000143575.10"	962	749	1082
"ENSG00000252682.1"	0	0	0
"ENSG00000212292.1"	0	0	1
"ENSG00000222457.1"	0	0	0
"ENSG00000143595.8"	77	52	75
"ENSG00000143515.12"	5323	2703	3988
"ENSG00000238365.1"	31	3	13
"ENSG00000237920.2"	3	1	1
"ENSG00000226855.1"	2	3	0
"ENSG00000228013.1"	24	9	24
"ENSG00000160712.8"	19465	9137	13505
"ENSG00000228264.1"	1	1	1
"ENSG00000169291.5"	7	12	21
"ENSG00000273110.1"	5	2	6
"ENSG00000163239.8"	10	10	9
"ENSG00000160714.5"	1423	864	1224
"ENSG00000229780.1"	1	3	1
"ENSG00000160716.4"	16	6	14
"ENSG00000233875.1"	160	77	99
"ENSG00000160710.11"	21280	9224	15028
"ENSG00000268141.1"	1	0	0
"ENSG00000143603.14"	25	20	12
"ENSG00000163344.5"	490	191	239
"ENSG00000270361.1"	7	6	5
"ENSG00000163346.12"	8664	3333	4914
"ENSG00000163348.3"	1140	256	525
"ENSG00000271380.1"	58	42	68
"ENSG00000160691.14"	1436	508	738
"ENSG00000173207.8"	76	91	122
"ENSG00000264349.1"	2	2	0
"ENSG00000160688.14"	739	472	693
"ENSG00000163352.5"	17	6	9
"ENSG00000160685.9"	5265	1397	2242
"ENSG00000163354.10"	20	6	14
"ENSG00000163357.6"	15	10	3
"ENSG00000232093.1"	16	1	8
"ENSG00000143537.9"	1022	339	514
"ENSG00000243364.3"	186	83	134
"ENSG00000143590.9"	21	2	6
"ENSG00000251246.1"	0	0	0
"ENSG00000202027.1"	0	0	0
"ENSG00000169242.7"	20	8	22
"ENSG00000169241.13"	440	293	387
"ENSG00000179085.7"	244	74	138
"ENSG00000251780.1"	0	0	0
"ENSG00000223452.2"	2	2	0
"ENSG00000163463.7"	203	105	179
"ENSG00000273088.1"	0	0	0
"ENSG00000163462.13"	105	40	52
"ENSG00000185499.12"	10	8	11
"ENSG00000271748.1"	2	0	2
"ENSG00000169231.9"	730	395	547
"ENSG00000231064.1"	2	5	3
"ENSG00000173171.10"	1403	731	1245
"ENSG00000236263.1"	3	6	1
"ENSG00000160766.10"	61	40	56
"ENSG00000236675.1"	1	3	2
"ENSG00000177628.11"	650	181	336
"ENSG00000216109.1"	9	5	0
"ENSG00000160767.16"	104	34	42
"ENSG00000116521.6"	593	214	377
"ENSG00000176444.14"	1530	663	954
"ENSG00000143630.5"	56	25	44
"ENSG00000143627.13"	3	12	3
"ENSG00000160752.10"	1434	921	1308
"ENSG00000225855.2"	228	93	144
"ENSG00000160753.11"	191	60	111
"ENSG00000116539.6"	7474	4850	7194
"ENSG00000207720.1"	1	2	4
"ENSG00000207134.1"	26	6	19
"ENSG00000227773.1"	48	52	61
"ENSG00000238805.1"	5	7	16
"ENSG00000207144.1"	0	0	1
"ENSG00000237872.3"	0	0	2
"ENSG00000235919.3"	201	116	160
"ENSG00000271267.1"	0	1	1
"ENSG00000225082.2"	17	7	15
"ENSG00000223503.1"	1	2	3
"ENSG00000232519.2"	0	1	2
"ENSG00000125459.10"	238	108	142
"ENSG00000203761.4"	90	30	35
"ENSG00000246203.2"	57	32	58
"ENSG00000163374.15"	2784	1529	2060
"ENSG00000132676.11"	1768	1187	1709
"ENSG00000227673.1"	0	0	1
"ENSG00000116580.14"	3287	1591	2294
"ENSG00000234937.1"	0	3	0
"ENSG00000132718.7"	770	486	734
"ENSG00000201614.1"	1	2	2
"ENSG00000143622.6"	3410	2332	3260
"ENSG00000132680.6"	1918	1322	1757
"ENSG00000207475.1"	9	34	32
"ENSG00000252808.1"	21	33	19
"ENSG00000173080.4"	4	1	2
"ENSG00000116584.13"	9329	3354	5073
"ENSG00000273002.1"	133	47	64
"ENSG00000224276.1"	1	0	0
"ENSG00000163479.9"	3017	1882	3013
"ENSG00000160803.7"	429	112	198
"ENSG00000116586.7"	549	424	782
"ENSG00000132698.9"	12	4	1
"ENSG00000254726.2"	14	17	16
"ENSG00000222611.1"	1	0	1
"ENSG00000160789.15"	548	195	283
"ENSG00000196189.8"	2092	1158	1832
"ENSG00000252236.1"	1	0	0
"ENSG00000160785.9"	3229	1319	2050
"ENSG00000260238.1"	11	3	0
"ENSG00000160783.15"	460	237	375
"ENSG00000242252.1"	27	7	8
"ENSG00000160781.11"	203	44	68
"ENSG00000198952.7"	3161	854	1349
"ENSG00000163472.14"	191	57	89
"ENSG00000198715.7"	333	86	130
"ENSG00000189030.8"	4	4	4
"ENSG00000163468.10"	2120	1717	2239
"ENSG00000228155.1"	0	0	0
"ENSG00000163467.7"	6	3	12
"ENSG00000132677.8"	6	5	3
"ENSG00000237390.1"	8	3	14
"ENSG00000125462.12"	64	38	59
"ENSG00000207933.2"	0	0	0
"ENSG00000236947.1"	6	2	2
"ENSG00000116604.13"	2643	939	1419
"ENSG00000206651.1"	50	70	30
"ENSG00000260460.1"	4	2	3
"ENSG00000183856.6"	25	22	30
"ENSG00000238843.1"	0	0	0
"ENSG00000187862.7"	122	45	58
"ENSG00000265960.1"	0	0	0
"ENSG00000163382.7"	323	187	332
"ENSG00000160818.12"	434	214	333
"ENSG00000272971.1"	0	0	0
"ENSG00000132702.8"	3	6	12
"ENSG00000272068.1"	3	5	3
"ENSG00000132692.14"	8	16	12
"ENSG00000272405.1"	5	5	9
"ENSG00000229953.1"	1	4	3
"ENSG00000132688.10"	2	16	12
"ENSG00000237588.2"	2	5	6
"ENSG00000143320.4"	13	10	12
"ENSG00000223356.1"	73	17	37
"ENSG00000143319.12"	1521	719	1116
"ENSG00000143303.7"	622	187	354
"ENSG00000143314.8"	352	270	356
"ENSG00000143321.14"	6691	3954	5415
"ENSG00000143294.10"	1064	300	504
"ENSG00000027869.7"	570	91	153
"ENSG00000198400.7"	52	19	33
"ENSG00000027644.4"	10	12	15
"ENSG00000187800.9"	98	43	75
"ENSG00000160838.9"	1	6	15
"ENSG00000132694.14"	3125	931	1424
"ENSG00000211581.1"	1	1	0
"ENSG00000266160.1"	1	0	4
"ENSG00000237842.2"	4	9	1
"ENSG00000224520.2"	4	2	3
"ENSG00000253831.1"	7	6	5
"ENSG00000117036.7"	2150	1365	1887
"ENSG00000235700.1"	0	0	1
"ENSG00000229961.1"	16	9	16
"ENSG00000228239.1"	1	1	1
"ENSG00000271736.1"	62	48	76
"ENSG00000237189.1"	0	2	2
"ENSG00000143297.14"	1235	667	992
"ENSG00000163518.6"	4	4	5
"ENSG00000236731.1"	2	2	0
"ENSG00000233712.1"	0	3	1
"ENSG00000160856.16"	1897	1190	1677
"ENSG00000227217.1"	2	1	3
"ENSG00000231700.3"	2	1	0
"ENSG00000232366.1"	3	3	6
"ENSG00000132704.11"	956	659	920
"ENSG00000163534.10"	2540	1587	2249
"ENSG00000073754.5"	3	3	12
"ENSG00000227425.1"	2	0	0
"ENSG00000236957.3"	1	6	2
"ENSG00000183853.13"	13	9	9
"ENSG00000226520.1"	0	1	2
"ENSG00000231666.1"	3	4	5
"ENSG00000227295.2"	11	5	10
"ENSG00000158473.6"	1427	1039	1354
"ENSG00000229914.1"	7	8	6
"ENSG00000176320.2"	5	6	8
"ENSG00000158477.6"	42	24	46
"ENSG00000230942.1"	8	8	10
"ENSG00000158481.8"	291	199	349
"ENSG00000158485.6"	12	9	17
"ENSG00000158488.11"	24	28	32
"ENSG00000186306.1"	1	1	2
"ENSG00000180708.4"	1	2	2
"ENSG00000203758.4"	0	0	0
"ENSG00000236257.1"	0	0	0
"ENSG00000173285.2"	1	1	3
"ENSG00000236656.1"	4	2	1
"ENSG00000198965.3"	2	1	0
"ENSG00000198703.2"	1	0	2
"ENSG00000227445.1"	1	1	1
"ENSG00000231434.1"	2	4	1
"ENSG00000197532.1"	1	0	0
"ENSG00000186440.1"	2	0	0
"ENSG00000186400.3"	1	0	0
"ENSG00000198967.3"	0	0	0
"ENSG00000163554.7"	464	331	427
"ENSG00000231237.1"	0	2	0
"ENSG00000196171.2"	0	1	1
"ENSG00000203757.1"	8	3	5
"ENSG00000180437.4"	3	1	6
"ENSG00000226949.1"	6	10	6
"ENSG00000180433.4"	1	1	0
"ENSG00000197403.2"	17	5	7
"ENSG00000188340.1"	5	4	10
"ENSG00000229724.1"	0	0	0
"ENSG00000180409.2"	31	23	24
"ENSG00000163563.7"	33397	24097	32558
"ENSG00000229849.1"	1	1	0
"ENSG00000163564.10"	2507	1090	1786
"ENSG00000163565.14"	8071	4093	6118
"ENSG00000265589.1"	19	4	8
"ENSG00000163568.9"	586	403	542
"ENSG00000233473.2"	1	2	2
"ENSG00000162706.8"	5	3	8
"ENSG00000222552.1"	0	0	1
"ENSG00000225670.3"	5	4	6
"ENSG00000213088.5"	67	19	43
"ENSG00000215846.5"	0	3	0
"ENSG00000248642.1"	8	3	8
"ENSG00000179639.6"	573	455	646
"ENSG00000196266.4"	0	2	2
"ENSG00000228560.1"	2	1	1
"ENSG00000248442.2"	0	2	0
"ENSG00000251686.1"	0	0	2
"ENSG00000249197.1"	0	0	2
"ENSG00000249730.1"	1	0	0
"ENSG00000196184.7"	0	1	1
"ENSG00000224943.1"	1	0	0
"ENSG00000184155.7"	0	1	0
"ENSG00000231100.1"	3	2	0
"ENSG00000271890.1"	0	0	0
"ENSG00000132703.3"	0	1	0
"ENSG00000158731.2"	0	1	0
"ENSG00000223603.1"	2	0	2
"ENSG00000132693.8"	2	1	7
"ENSG00000235226.1"	0	2	2
"ENSG00000158716.4"	371	192	342
"ENSG00000181036.9"	1352	657	1153
"ENSG00000158714.6"	108	38	77
"ENSG00000188004.5"	86	37	57
"ENSG00000212161.1"	3	3	4
"ENSG00000243284.1"	31	21	30
"ENSG00000256029.1"	0	0	0
"ENSG00000272668.1"	37	19	28
"ENSG00000213085.5"	370	185	288
"ENSG00000266458.1"	3	5	14
"ENSG00000269620.1"	66	31	52
"ENSG00000158710.10"	23950	9134	13417
"ENSG00000085552.12"	9	10	14
"ENSG00000162723.5"	1	2	6
"ENSG00000224259.1"	2	1	2
"ENSG00000237409.2"	0	0	1
"ENSG00000260766.1"	93	41	79
"ENSG00000143315.5"	657	377	592
"ENSG00000177807.6"	1	6	7
"ENSG00000225279.1"	2	1	1
"ENSG00000162728.4"	4	14	13
"ENSG00000162729.9"	543	169	274
"ENSG00000018625.10"	11	6	12
"ENSG00000132681.12"	25	22	26
"ENSG00000143318.8"	10	6	5
"ENSG00000227741.1"	37	9	6
"ENSG00000162734.8"	783	352	560
"ENSG00000265381.1"	0	0	0
"ENSG00000132716.14"	4407	2469	3638
"ENSG00000258465.2"	5	1	6
"ENSG00000228606.1"	51	26	59
"ENSG00000224261.2"	37	21	19
"ENSG00000162735.14"	830	447	637
"ENSG00000122218.10"	5687	3422	5200
"ENSG00000235082.2"	2	3	6
"ENSG00000202078.1"	37	29	37
"ENSG00000162736.11"	2077	1042	1411
"ENSG00000171786.5"	12	2	7
"ENSG00000201608.1"	0	0	0
"ENSG00000162738.5"	17	11	16
"ENSG00000162739.9"	1687	818	1274
"ENSG00000223009.1"	10	6	9
"ENSG00000234425.1"	0	0	4
"ENSG00000066294.10"	3950	2604	3638
"ENSG00000264286.1"	0	0	0
"ENSG00000117090.10"	929	454	679
"ENSG00000235101.1"	30	14	11
"ENSG00000228863.4"	104	49	76
"ENSG00000117091.5"	5732	4670	6241
"ENSG00000227239.2"	10	3	2
"ENSG00000026751.12"	1593	757	1206
"ENSG00000122224.13"	1727	624	1123
"ENSG00000122223.8"	2194	1383	1816
"ENSG00000226003.2"	0	0	0
"ENSG00000179914.4"	86	97	99
"ENSG00000213080.3"	2	16	7
"ENSG00000232188.1"	0	1	1
"ENSG00000198358.4"	5	0	4
"ENSG00000233691.2"	1	0	0
"ENSG00000158764.6"	3	6	10
"ENSG00000158769.13"	1941	708	921
"ENSG00000270149.1"	10	3	4
"ENSG00000232879.2"	0	2	0
"ENSG00000215845.6"	727	506	779
"ENSG00000158773.10"	3970	2757	3948
"ENSG00000186517.9"	22585	9755	13954
"ENSG00000268154.1"	0	0	0
"ENSG00000143217.7"	7	6	12
"ENSG00000228917.1"	0	2	1
"ENSG00000162755.9"	16	7	9
"ENSG00000143256.4"	304	141	288
"ENSG00000158793.9"	832	427	695
"ENSG00000158796.12"	986	221	367
"ENSG00000238934.1"	2	0	1
"ENSG00000143222.7"	911	574	895
"ENSG00000224985.1"	3	6	8
"ENSG00000143258.11"	602	198	335
"ENSG00000143224.13"	484	301	491
"ENSG00000158850.10"	1184	254	474
"ENSG00000158859.9"	84	38	52
"ENSG00000158864.8"	1551	1066	1506
"ENSG00000158869.6"	1707	960	2376
"ENSG00000268387.1"	32	17	16
"ENSG00000158874.7"	2	3	0
"ENSG00000158882.8"	430	229	292
"ENSG00000263548.1"	2	0	4
"ENSG00000143257.7"	3	4	1
"ENSG00000248485.1"	2	3	4
"ENSG00000158887.11"	325	160	294
"ENSG00000143252.10"	1277	340	552
"ENSG00000188931.3"	0	5	1
"ENSG00000235477.2"	336	221	316
"ENSG00000273075.1"	9	23	25
"ENSG00000236484.2"	1	2	1
"ENSG00000206921.1"	21	13	10
"ENSG00000215840.3"	83	34	69
"ENSG00000143226.9"	23465	14065	21381
"ENSG00000273112.1"	257	110	142
"ENSG00000173110.6"	7280	3640	5247
"ENSG00000224203.2"	1	0	1
"ENSG00000203747.5"	5437	4889	6511
"ENSG00000224515.1"	4	1	2
"ENSG00000072694.14"	909	444	618
"ENSG00000244682.3"	2360	1210	1830
"ENSG00000225217.1"	1990	876	1384
"ENSG00000231586.2"	5	3	5
"ENSG00000162747.5"	47303	32426	48763
"ENSG00000234211.1"	0	0	3
"ENSG00000213075.7"	0	4	1
"ENSG00000199595.1"	0	0	0
"ENSG00000132185.12"	316	244	366
"ENSG00000162746.10"	89	22	53
"ENSG00000241347.2"	0	1	1
"ENSG00000081721.7"	401	292	424
"ENSG00000226889.3"	2	1	2
"ENSG00000118217.5"	5937	4006	5437
"ENSG00000229808.1"	543	285	372
"ENSG00000162745.6"	35	4	10
"ENSG00000227818.1"	0	0	0
"ENSG00000198929.8"	45	23	23
"ENSG00000266144.1"	1	1	4
"ENSG00000227094.1"	0	1	1
"ENSG00000252262.1"	0	1	1
"ENSG00000207729.1"	0	1	0
"ENSG00000254706.1"	0	0	0
"ENSG00000239887.3"	17	6	5
"ENSG00000171722.7"	6	5	7
"ENSG00000198574.4"	878	393	514
"ENSG00000227243.2"	0	0	0
"ENSG00000152332.11"	9568	7616	9514
"ENSG00000227941.1"	1	2	0
"ENSG00000259788.1"	10	6	9
"ENSG00000117143.9"	469	342	481
"ENSG00000272574.1"	15	14	23
"ENSG00000162733.12"	55	46	51
"ENSG00000243173.2"	2	0	2
"ENSG00000132196.9"	643	328	570
"ENSG00000185860.9"	1	6	4
"ENSG00000230739.1"	0	1	3
"ENSG00000227667.1"	0	0	0
"ENSG00000117152.9"	5	7	1
"ENSG00000143248.8"	32	22	15
"ENSG00000232892.1"	0	3	2
"ENSG00000225755.2"	3	1	1
"ENSG00000232995.3"	223	133	204
"ENSG00000237756.1"	1	3	2
"ENSG00000143228.8"	56	38	43
"ENSG00000252740.1"	0	3	0
"ENSG00000225122.1"	1	1	2
"ENSG00000200327.1"	0	0	1
"ENSG00000212527.1"	0	0	0
"ENSG00000228289.1"	0	0	2
"ENSG00000212538.1"	0	0	0
"ENSG00000225719.2"	1	0	1
"ENSG00000199849.1"	0	0	0
"ENSG00000213070.3"	2	4	2
"ENSG00000185630.14"	502	265	339
"ENSG00000207082.1"	1	0	3
"ENSG00000269887.1"	44	32	34
"ENSG00000233693.1"	0	3	2
"ENSG00000271917.1"	2	0	1
"ENSG00000201987.1"	0	0	0
"ENSG00000225487.2"	1	0	3
"ENSG00000201270.1"	0	0	0
"ENSG00000212086.1"	0	0	0
"ENSG00000252359.1"	1	0	0
"ENSG00000162761.10"	7	12	19
"ENSG00000224702.1"	1	1	0
"ENSG00000238022.1"	0	1	0
"ENSG00000143171.8"	4	6	9
"ENSG00000237463.1"	7	5	15
"ENSG00000230748.1"	0	2	0
"ENSG00000162763.3"	0	1	2
"ENSG00000237783.2"	2	0	4
"ENSG00000236206.1"	0	1	2
"ENSG00000143198.8"	1062	720	1054
"ENSG00000143149.8"	1847	1141	1583
"ENSG00000206990.1"	0	0	0
"ENSG00000230175.1"	5	1	2
"ENSG00000225272.2"	0	1	2
"ENSG00000215838.4"	12	9	16
"ENSG00000273365.1"	3	2	5
"ENSG00000143183.12"	994	738	1028
"ENSG00000224358.1"	143	104	141
"ENSG00000230659.2"	0	0	0
"ENSG00000143179.8"	423	280	384
"ENSG00000236364.2"	1	0	1
"ENSG00000271527.1"	0	1	0
"ENSG00000226292.1"	0	1	0
"ENSG00000207341.1"	0	0	2
"ENSG00000188859.5"	8	11	9
"ENSG00000267884.1"	0	0	0
"ENSG00000203307.2"	1	2	3
"ENSG00000230898.1"	5	1	4
"ENSG00000215952.1"	0	0	1
"ENSG00000215835.2"	9	14	11
"ENSG00000229588.1"	2	0	0
"ENSG00000225325.1"	1	0	2
"ENSG00000230231.1"	0	0	0
"ENSG00000234142.1"	16	7	5
"ENSG00000238087.2"	3	1	2
"ENSG00000215834.4"	4	4	7
"ENSG00000234984.1"	3	1	3
"ENSG00000232341.2"	2	3	1
"ENSG00000232148.1"	4	1	2
"ENSG00000232223.1"	2	0	1
"ENSG00000143157.7"	2242	1078	1600
"ENSG00000152382.5"	369	225	335
"ENSG00000225171.2"	21	8	14
"ENSG00000237096.1"	2	0	2
"ENSG00000143195.8"	33	20	29
"ENSG00000143194.8"	4	10	11
"ENSG00000200036.1"	0	0	0
"ENSG00000238325.1"	0	0	1
"ENSG00000227907.1"	0	1	0
"ENSG00000143167.7"	292	146	173
"ENSG00000198842.5"	7	16	6
"ENSG00000213068.3"	0	2	0
"ENSG00000231605.1"	1	3	0
"ENSG00000272205.1"	5	3	2
"ENSG00000143190.17"	3176	2202	2851
"ENSG00000272033.1"	244	126	210
"ENSG00000198821.6"	5558	3201	4490
"ENSG00000233411.1"	294	111	201
"ENSG00000273160.1"	263	118	179
"ENSG00000227776.1"	15	13	16
"ENSG00000143162.7"	2647	2096	3013
"ENSG00000231029.2"	0	0	0
"ENSG00000241666.2"	83	63	93
"ENSG00000198771.6"	10463	5101	7690
"ENSG00000197965.7"	4192	2436	3539
"ENSG00000143199.13"	69	39	54
"ENSG00000250762.1"	2	6	3
"ENSG00000232194.1"	11	3	11
"ENSG00000143158.6"	931	783	1066
"ENSG00000143164.11"	2440	1710	2246
"ENSG00000221545.1"	3	2	8
"ENSG00000224837.1"	2	2	4
"ENSG00000143147.10"	17	16	16
"ENSG00000143155.8"	884	618	867
"ENSG00000237049.1"	2	0	0
"ENSG00000237131.1"	0	1	1
"ENSG00000213064.5"	7704	4172	5772
"ENSG00000214262.4"	0	2	1
"ENSG00000206880.1"	0	0	0
"ENSG00000143178.8"	267	81	156
"ENSG00000227722.1"	3	2	3
"ENSG00000207974.1"	5	1	2
"ENSG00000228697.1"	3	2	0
"ENSG00000215833.3"	1	2	1
"ENSG00000237658.1"	1	3	0
"ENSG00000143185.3"	84	67	153
"ENSG00000227777.1"	1	1	2
"ENSG00000143184.4"	47	35	48
"ENSG00000229757.2"	1	2	0
"ENSG00000143196.4"	1	3	4
"ENSG00000221578.1"	0	1	0
"ENSG00000235736.1"	0	1	0
"ENSG00000225826.1"	4	3	1
"ENSG00000229612.1"	1	1	0
"ENSG00000203601.3"	5	3	2
"ENSG00000213063.3"	1	0	0
"ENSG00000252987.1"	0	0	0
"ENSG00000237707.1"	0	2	3
"ENSG00000143153.8"	99	59	101
"ENSG00000143156.9"	255	173	259
"ENSG00000235575.1"	1	0	0
"ENSG00000117475.9"	1102	690	913
"ENSG00000117477.8"	6	1	4
"ENSG00000234437.1"	1	1	1
"ENSG00000117479.8"	291	203	234
"ENSG00000234604.2"	15	11	12
"ENSG00000213062.3"	13	8	6
"ENSG00000198734.6"	2153	1457	2033
"ENSG00000174175.12"	501	324	457
"ENSG00000000460.12"	574	334	504
"ENSG00000188404.4"	29163	15931	23835
"ENSG00000007908.11"	3	6	5
"ENSG00000230704.1"	0	0	0
"ENSG00000171806.7"	132	122	140
"ENSG00000000457.9"	1767	1200	1645
"ENSG00000239494.2"	26	14	26
"ENSG00000075945.8"	1116	805	966
"ENSG00000243051.2"	46	13	23
"ENSG00000235378.2"	0	0	0
"ENSG00000203260.2"	32	21	42
"ENSG00000232959.1"	1	1	2
"ENSG00000224896.2"	0	2	1
"ENSG00000203740.3"	3	2	3
"ENSG00000263390.1"	0	0	1
"ENSG00000233985.1"	0	1	0
"ENSG00000238051.1"	0	0	0
"ENSG00000224286.1"	1	1	5
"ENSG00000226967.1"	1	0	1
"ENSG00000263384.1"	0	0	0
"ENSG00000231407.1"	4	4	9
"ENSG00000120370.8"	433	257	420
"ENSG00000225545.1"	1	0	0
"ENSG00000235303.1"	4	1	3
"ENSG00000116132.7"	2	8	12
"ENSG00000271811.1"	0	1	6
"ENSG00000117501.10"	7	10	4
"ENSG00000215924.1"	3	2	1
"ENSG00000226552.2"	0	0	2
"ENSG00000007933.8"	2	4	6
"ENSG00000221390.1"	6	1	1
"ENSG00000117507.4"	1	1	4
"ENSG00000094963.9"	3	7	4
"ENSG00000225243.1"	7	5	3
"ENSG00000231424.2"	15	13	25
"ENSG00000010932.11"	12	6	3
"ENSG00000206692.1"	0	0	0
"ENSG00000230547.1"	0	1	0
"ENSG00000076258.5"	193	88	124
"ENSG00000225704.2"	2	0	7
"ENSG00000268062.1"	1	0	1
"ENSG00000239428.2"	1	0	1
"ENSG00000202082.1"	0	0	0
"ENSG00000234333.2"	1	3	2
"ENSG00000238859.1"	0	1	0
"ENSG00000117523.11"	12363	6992	10472
"ENSG00000239373.2"	304	122	184
"ENSG00000201126.1"	0	0	0
"ENSG00000034971.10"	0	4	5
"ENSG00000233328.3"	0	6	3
"ENSG00000230364.1"	4	5	0
"ENSG00000117533.10"	1116	750	867
"ENSG00000232261.1"	0	1	0
"ENSG00000271459.1"	1	0	0
"ENSG00000236741.4"	1	0	0
"ENSG00000253060.1"	0	0	0
"ENSG00000010165.15"	1053	555	768
"ENSG00000213060.4"	13	10	4
"ENSG00000252134.1"	4	1	2
"ENSG00000224600.4"	0	0	0
"ENSG00000197959.9"	569	404	532
"ENSG00000233540.1"	6	3	4
"ENSG00000207949.1"	1	0	0
"ENSG00000230630.1"	1	3	2
"ENSG00000208024.1"	0	0	0
"ENSG00000252354.1"	0	0	1
"ENSG00000206684.1"	0	0	0
"ENSG00000135845.5"	1514	1132	1612
"ENSG00000180999.6"	5	9	9
"ENSG00000094975.9"	2926	1707	2592
"ENSG00000251943.1"	0	0	0
"ENSG00000117560.6"	342	167	204
"ENSG00000229785.1"	4	1	3
"ENSG00000224228.2"	7	1	4
"ENSG00000227177.1"	1	0	0
"ENSG00000224000.1"	3	9	2
"ENSG00000120337.7"	1	5	1
"ENSG00000230849.2"	4	6	8
"ENSG00000226375.1"	17	12	22
"ENSG00000117586.6"	411	264	403
"ENSG00000251817.1"	0	0	0
"ENSG00000232751.1"	0	0	0
"ENSG00000231615.2"	104	102	145
"ENSG00000203739.3"	628	226	401
"ENSG00000117592.8"	5896	4772	7302
"ENSG00000162753.10"	17	10	10
"ENSG00000238272.1"	0	1	2
"ENSG00000183831.6"	5	5	6
"ENSG00000232113.1"	2	1	0
"ENSG00000238430.1"	0	0	0
"ENSG00000076321.6"	1250	802	1123
"ENSG00000225591.2"	29	30	39
"ENSG00000200674.1"	21	3	17
"ENSG00000120334.11"	193	154	219
"ENSG00000252357.1"	1	0	0
"ENSG00000117593.8"	509	293	373
"ENSG00000270084.1"	31	14	23
"ENSG00000234741.3"	1122	951	1360
"ENSG00000208317.1"	1	4	3
"ENSG00000185278.10"	9031	6143	8274
"ENSG00000117601.9"	9	6	10
"ENSG00000252231.1"	0	0	0
"ENSG00000135870.7"	11434	6896	10264
"ENSG00000200755.1"	23	0	0
"ENSG00000236535.1"	233	182	244
"ENSG00000224977.1"	8	9	20
"ENSG00000225713.4"	0	1	0
"ENSG00000227373.1"	15	15	17
"ENSG00000152061.17"	10642	7395	10221
"ENSG00000238872.1"	0	0	0
"ENSG00000266125.1"	3	5	5
"ENSG00000237317.2"	1	0	0
"ENSG00000203737.2"	290	127	236
"ENSG00000223828.1"	0	0	0
"ENSG00000231378.1"	0	0	0
"ENSG00000237249.1"	67	28	41
"ENSG00000223525.1"	86	42	57
"ENSG00000235869.1"	1	0	1
"ENSG00000229531.1"	17	5	11
"ENSG00000252552.1"	1	1	3
"ENSG00000116161.13"	981	673	972
"ENSG00000120333.4"	652	511	639
"ENSG00000206659.1"	4	17	4
"ENSG00000181101.7"	1	2	0
"ENSG00000120332.11"	11	10	15
"ENSG00000235750.5"	4697	2986	4696
"ENSG00000230687.1"	0	0	1
"ENSG00000233946.2"	0	0	0
"ENSG00000260990.1"	3	1	0
"ENSG00000116147.12"	36	35	24
"ENSG00000235628.1"	2	1	2
"ENSG00000224718.1"	2	3	0
"ENSG00000227740.1"	45	23	36
"ENSG00000230777.1"	1	2	0
"ENSG00000143207.15"	10104	6396	8604
"ENSG00000252906.1"	274	194	225
"ENSG00000228686.2"	0	0	2
"ENSG00000236021.1"	141	81	112
"ENSG00000232463.1"	0	1	0
"ENSG00000253025.1"	0	0	1
"ENSG00000227815.2"	6	14	14
"ENSG00000231020.1"	0	0	1
"ENSG00000225904.1"	1	2	0
"ENSG00000116183.6"	14	18	25
"ENSG00000237514.2"	0	1	0
"ENSG00000152092.11"	12	14	13
"ENSG00000202609.2"	0	0	1
"ENSG00000198797.6"	13	3	6
"ENSG00000222749.1"	0	0	0
"ENSG00000224968.1"	0	0	0
"ENSG00000227579.1"	1	0	0
"ENSG00000266393.1"	0	0	0
"ENSG00000236720.1"	0	2	1
"ENSG00000120341.14"	3	6	7
"ENSG00000254154.4"	12	9	4
"ENSG00000242193.5"	129	58	82
"ENSG00000224687.1"	5	9	13
"ENSG00000075391.12"	71	47	60
"ENSG00000270575.1"	1	3	0
"ENSG00000213058.3"	4	11	10
"ENSG00000260938.1"	1	0	3
"ENSG00000188585.6"	2	9	3
"ENSG00000240021.5"	4	3	4
"ENSG00000213057.4"	70	40	59
"ENSG00000184909.8"	0	0	0
"ENSG00000201347.1"	6	0	1
"ENSG00000273384.1"	6	6	2
"ENSG00000266417.1"	2	5	2
"ENSG00000273062.1"	54	39	56
"ENSG00000116191.13"	3297	2218	3079
"ENSG00000228196.1"	1	3	1
"ENSG00000201791.1"	0	0	0
"ENSG00000116194.8"	3	4	0
"ENSG00000116199.7"	1483	1021	1481
"ENSG00000232750.2"	4	0	0
"ENSG00000186283.9"	964	555	810
"ENSG00000143322.15"	1505	962	1438
"ENSG00000234041.1"	0	0	1
"ENSG00000231905.2"	1	2	0
"ENSG00000212338.1"	0	0	0
"ENSG00000201619.1"	0	0	0
"ENSG00000231564.1"	0	0	0
"ENSG00000225711.1"	0	2	1
"ENSG00000223794.1"	0	0	2
"ENSG00000228191.1"	0	1	0
"ENSG00000057252.8"	3779	2108	3056
"ENSG00000263633.1"	0	1	1
"ENSG00000162779.16"	19	23	22
"ENSG00000224620.2"	0	0	0
"ENSG00000236539.3"	7	6	10
"ENSG00000269064.1"	0	0	3
